name,type,size_bytes
.openclaw,dir,
AWSCertifiedGenerativeAIDeveloper.pdf,file,24740055
AWSCertifiedGenerativeAIDeveloper_ja.pdf,file,106041639
AWSCertifiedGenerativeAIDeveloper_ja_p1.pdf,file,87162072
AWSCertifiedGenerativeAIDeveloper_ja_p1a.pdf,file,83168976
AWSCertifiedGenerativeAIDeveloper_ja_p1b.pdf,file,4424485
AWSCertifiedGenerativeAIDeveloper_ja_p2.pdf,file,6547451
AWSCertifiedGenerativeAIDeveloper_ja_p3.pdf,file,5627525
AWSCertifiedGenerativeAIDeveloper_ja_p4.pdf,file,5493609
AWSCertifiedGenerativeAIDeveloper_ja_part1.pdf,file,93216457
AWSCertifiedGenerativeAIDeveloper_ja_part2.pdf,file,10447756
AWSCertifiedGenerativeAIDeveloper_ja_small.pdf,file,0
AWSCertifiedGenerativeAIDeveloper_ja_split01.pdf,file,32679188
AWSCertifiedGenerativeAIDeveloper_ja_split02.pdf,file,47086413
AWSCertifiedGenerativeAIDeveloper_ja_split03.pdf,file,7762980
AWSCertifiedGenerativeAIDeveloper_ja_split04.pdf,file,6547451
AWSCertifiedGenerativeAIDeveloper_ja_split05.pdf,file,5627525
AWSCertifiedGenerativeAIDeveloper_ja_split06.pdf,file,5493609
AWSCertifiedGenerativeAIDeveloper_ja_tg.pdf,file,0
claude-analysis_openclaw-structure_2026-02-18.md,file,6818
claude_analysis_openclaw_structure_2026-02-18.md,file,6277
codex_gpt-5.3-codex_overview_2026-02-06.html,file,11894
crypto-arb-bot,dir,
dexter_guide_ja.html,file,6332
hokan-alternative-mvp,dir,
macmini_open_ports_full_20260205_101754.txt,file,13603
macmini_security_audit_20260204_135636.txt,file,3939
macmini_security_audit_addendum_20260204_135650.txt,file,4826
macmini_security_audit_ssh_20260204_135704.txt,file,313
macmini_security_audit_ssh_d_20260204_135710.txt,file,315
macmini_security_listeners_20260205_101355.txt,file,3999
macmini_security_post_gui_disable_20260205_101350.txt,file,149
markets,dir,
numerai-example-scripts,dir,
out_en.txt,file,97
pqc-roadmap-slidev-styled.pdf,file,492012
pqc-roadmap-slidev.md,file,7805
pqc-roadmap-slidev.pdf,file,538571
sources.yaml,file,2396
test_html_ja.pdf,file,30259236
test_ja.pdf,file,26647084
translate_pdf_ja.log,file,715
translate_pdf_ja.py,file,3556
udemy-mock,dir,
棚卸し_2026-02-03.md,file,4594
